"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-14T22:00:00",612,72,38,2023,3,441,364,,,7,,7
"2021-09-14T23:00:00",406,96,,15,,1719,739,,,6,,
"2021-09-15T00:00:00",1994,,,,,22,,,,,,
"2021-09-15T01:00:00",435,5,,2679,49,22,,,,,,
"2021-09-15T02:00:00",370,220,101,590,591,37,,,,3,,
"2021-09-15T09:00:00",354,142,567,901,20,6,,,,1036,,166
"2021-09-15T10:00:00",1807,135,,,822,220,,,,131,,462
"2021-09-15T11:00:00",866,20,133,,486,47,1635,,,241,,155
"2021-09-15T12:00:00",1340,139,,1452,7,125,511,,,,,
"2021-09-15T13:00:00",582,61,,907,211,1154,574,13,,2,,73
"2021-09-15T14:00:00",2133,101,60,,320,267,,,,,,174
"2021-09-15T15:00:00",2407,84,118,,661,,,,,14,,291
"2021-09-15T16:00:00",1565,258,142,,332,147,4,,,127,,234
"2021-09-15T17:00:00",66,93,621,,239,471,823,,,,,122
"2021-09-15T18:00:00",77,14,860,30,209,70,65,,,,,
"2021-09-15T19:00:00",2132,283,145,,40,363,120,63,,408,,
"2021-09-15T20:00:00",250,160,1665,1238,125,,6,,,131,,
"2021-09-15T21:00:00",573,7,70,,29,9,75,,,158,,
"2021-09-15T22:00:00",182,16,151,,728,401,1769,,,345,,
"2021-09-15T23:00:00",176,,,,3,,395,,,,,
"2021-09-16T00:00:00",18,4,,,4,3,6,,,,,
"2021-09-16T08:00:00",42,49,,809,7,,31,,,,,
"2021-09-16T09:00:00",333,61,,572,144,6,2,,,2272,,
"2021-09-16T10:00:00",455,254,2211,,481,15,23,,,487,,13
"2021-09-16T11:00:00",848,27,34,,77,159,2314,67,,7,,
"2021-09-16T12:00:00",870,117,247,,74,2,1861,,,440,,
"2021-09-16T13:00:00",631,83,82,,208,8,1845,,,42,,
"2021-09-16T15:00:00",732,274,,1105,9,,1214,,,60,,
"2021-09-16T16:00:00",695,84,6,,7,719,1949,,,47,,
"2021-09-16T17:00:00",5,13,,,31,28,,,,64,,
"2021-09-16T18:00:00",419,376,16,796,15,,171,,,40,,
"2021-09-16T19:00:00",1695,121,11,1475,8,17,5,,,249,,
"2021-09-16T20:00:00",1154,93,105,438,278,14,,,,309,,
"2021-09-16T21:00:00",158,70,1661,886,131,19,,,,18,,
"2021-09-16T22:00:00",428,88,970,,198,332,,,,1547,,
"2021-09-16T23:00:00",1021,216,210,319,914,,,,,892,,
"2021-09-17T00:00:00",1218,95,45,155,697,,,,,1371,,
"2021-09-17T01:00:00",760,44,2257,52,44,195,,,,216,,
"2021-09-17T02:00:00",270,89,1590,1077,3,20,,,,189,,
"2021-09-17T03:00:00",281,46,707,13,690,7,,249,,382,,
"2021-09-17T04:00:00",78,,,,,,,,,,,
"2021-09-17T09:00:00",478,86,1290,,1129,4,,,,1618,,
"2021-09-17T10:00:00",842,126,1671,54,470,,,4,,199,,
"2021-09-17T11:00:00",455,42,178,366,549,202,,588,,819,748,
