"date","development","business","communication","utilities","uncategorized","news","entertainment","learning","focus","design","shopping","social","personal"
"2022-09-26T09:00:00",173,,124,591,24,,82,92,,,,,
"2022-09-26T10:00:00",354,,164,907,296,8,1502,60,,,96,,
"2022-09-26T11:00:00",,,,,,,361,,,,,,
"2022-09-26T12:00:00",2,439,25,31,11,,455,30,,,,,
"2022-09-26T13:00:00",26,20,1271,98,421,,477,708,,,,402,
"2022-09-26T14:00:00",491,140,1760,90,514,,49,512,,,,,
"2022-09-26T15:00:00",,434,1943,77,456,,82,482,,,110,,
"2022-09-26T16:00:00",15,11,1115,140,99,,1638,565,,,3,,
"2022-09-26T17:00:00",879,17,199,261,434,,841,329,,,,,
"2022-09-26T18:00:00",1204,1,658,160,164,,162,60,,1149,,,
"2022-09-26T19:00:00",19,,1280,,7,,,33,,2244,,,
"2022-09-26T20:00:00",612,,879,35,114,,1402,,,4,,,
"2022-09-26T21:00:00",199,,285,44,29,,1980,,,,,,
"2022-09-26T22:00:00",,,20,,,,2157,,,,,,
"2022-09-26T23:00:00",95,,6,2656,,,421,,,,,,
"2022-09-27T00:00:00",45,,262,3,,,1926,,,,,,
"2022-09-27T01:00:00",2405,,531,291,7,,9,,,,,,
"2022-09-27T02:00:00",3008,1,34,182,300,,,24,,,,,
"2022-09-27T03:00:00",1425,,,96,27,,36,,,,,,
"2022-09-27T10:00:00",151,,106,11,80,,1458,,,,,,
"2022-09-27T11:00:00",32,,127,2,2,,2799,,,,,,
"2022-09-27T12:00:00",22,,,,,,452,,,,,,
"2022-09-27T13:00:00",12,,185,19,,,2279,41,3,,,238,
"2022-09-27T14:00:00",371,1,299,219,,,1324,37,,25,,4,
"2022-09-27T15:00:00",160,,383,60,5,61,538,224,6,,,,
"2022-09-27T16:00:00",666,,375,175,63,4,990,129,4,,,234,
"2022-09-27T17:00:00",637,,492,35,5,,1213,,,,,31,
"2022-09-27T18:00:00",7,,433,109,150,,2699,118,,,58,,
"2022-09-27T19:00:00",1239,,26,15,617,,38,23,,,,149,
"2022-09-27T20:00:00",165,,31,1,198,50,,23,,,,5,
"2022-09-27T21:00:00",,,32,237,303,,1422,,,,,,
"2022-09-27T22:00:00",292,118,104,491,539,,1295,298,,,304,,137
"2022-09-27T23:00:00",219,196,490,9,51,152,1675,743,,,,,36
"2022-09-28T00:00:00",801,,548,280,,,1728,39,,,,,
"2022-09-28T01:00:00",189,,109,1300,3,,1088,12,,224,,,
"2022-09-28T02:00:00",,,,1134,,,2149,,,,,,
"2022-09-28T20:00:00",3,61,,810,5,,,,,,9,,
