"date","communication","entertainment","development","learning","uncategorized","utilities","social","shopping","news","business","design"
"2020-09-16T21:00:00",1482,64,833,93,377,406,,,268,36,
"2020-09-16T22:00:00",1107,133,43,125,83,501,,,190,11,1258
"2020-09-16T23:00:00",786,8,7,149,18,119,,,,4,2494
"2020-09-17T00:00:00",1055,400,,81,3,388,,,,,1404
"2020-09-17T01:00:00",17,1545,,34,499,740,,,,49,
"2020-09-17T08:00:00",114,1,,,,42,,,,94,
"2020-09-17T09:00:00",535,971,289,,188,444,,,,451,
"2020-09-17T10:00:00",212,,454,131,421,190,,,,553,2772
"2020-09-17T11:00:00",658,85,1390,5,170,138,,,,1508,727
"2020-09-17T12:00:00",1743,8,616,760,278,323,32,,,44,5
"2020-09-17T13:00:00",1096,63,1052,4,596,666,1139,,,295,84
"2020-09-17T14:00:00",746,1391,42,16,30,69,,,,36,
"2020-09-17T15:00:00",739,688,16,155,1255,279,154,,,172,159
"2020-09-17T16:00:00",242,,,,64,62,46,,,59,
"2020-09-17T17:00:00",182,,,59,,42,219,,,,75
"2020-09-17T18:00:00",151,21,,15,81,34,,,,,
"2020-09-17T19:00:00",174,101,,,2,80,527,,,,
"2020-09-17T20:00:00",1168,,,36,,36,66,,,,
"2020-09-17T21:00:00",664,968,44,239,91,231,98,,,,8
"2020-09-17T22:00:00",1049,77,1182,36,740,439,441,,,24,
"2020-09-17T23:00:00",1414,,,459,,49,,,,,
"2020-09-18T00:00:00",182,53,1241,971,217,70,,,,82,
"2020-09-18T01:00:00",27,369,1337,53,1235,163,,45,,2,
"2020-09-18T02:00:00",4,1187,3,,,7,,,,,
"2020-09-18T08:00:00",154,124,,58,,186,200,,,106,
"2020-09-18T09:00:00",514,1481,1093,36,76,268,,,39,20,
"2020-09-18T10:00:00",355,,704,1180,216,269,,,,437,
"2020-09-18T11:00:00",228,9,1516,,98,164,,,,167,
"2020-09-18T12:00:00",903,5,1696,62,861,163,,,,36,
"2020-09-18T13:00:00",156,300,733,7,1296,259,,,,58,
"2020-09-18T14:00:00",214,1086,702,39,1043,179,,45,,6,
"2020-09-18T15:00:00",494,49,2017,260,675,165,,,,,
"2020-09-18T16:00:00",928,,1678,51,549,157,229,,23,439,
"2020-09-18T17:00:00",94,2674,270,18,454,169,,,,48,
"2020-09-18T18:00:00",28,,761,27,668,81,,,,,
"2020-09-18T19:00:00",84,1114,12,,,108,,,,,
"2020-09-18T20:00:00",53,3410,,54,64,42,,,,,
"2020-09-18T21:00:00",811,986,1570,17,56,105,,,,,
"2020-09-18T22:00:00",1890,,721,9,19,90,,,838,,
"2020-09-18T23:00:00",1373,13,1647,79,212,180,12,,76,,
"2020-09-19T00:00:00",1283,136,691,3,183,23,52,,,33,
"2020-09-19T01:00:00",2034,714,,,5,26,,,,,
"2020-09-19T02:00:00",3,4021,,,,153,,,,,
"2020-09-19T03:00:00",,66,41,5,,,,,,,
"2020-09-19T09:00:00",40,258,,,4,142,112,,,,
"2020-09-19T10:00:00",367,1245,1172,39,137,472,,,,,
"2020-09-19T11:00:00",405,688,1794,22,379,436,,,,,
"2020-09-19T12:00:00",654,423,1584,245,318,530,18,,,,
"2020-09-19T13:00:00",1671,128,589,350,982,431,41,,28,,
"2020-09-19T14:00:00",1359,,7,1436,,1092,,,13,,
"2020-09-19T15:00:00",1450,1047,366,232,744,370,,,,,
